688;4;1;59;0
688;11;1;31;0
688;12;1;6;0
688;2;2;21;0
688;3;2;10;0
688;6;2;0;0
688;11;2;36;0
688;12;2;35;0
688;4;3;9;0
688;1;4;46;0
689;12;4;224;0
689;12;1;55;0
689;1;5;357;0
689;2;5;223;0
689;3;5;168;0
689;4;5;20;0
689;12;5;202;0
689;1;6;240;0
689;2;6;223;0
689;3;6;76;0
689;4;6;8;0
689;12;6;322;0
689;1;2;56;0
689;2;2;33;0
689;1;7;299;0
689;2;7;254;0
689;3;7;195;0
689;12;7;300;0
689;1;8;512;0
689;2;8;387;0
689;3;8;284;0
689;4;8;46;0
689;6;2;0;0
689;11;7;284;0
689;11;8;191;0
689;12;8;500;0
689;10;9;41;0
689;1;9;431;0
689;2;9;587;0
689;3;9;247;0
689;4;9;78;0
690;1;2;458;0
690;4;1;8;0
690;3;2;334;0
690;12;1;465;0
690;11;1;335;0
690;2;2;459;0
690;6;2;0;0
690;1;3;665;0
690;2;3;746;0
690;12;2;735;0
690;3;3;132;0
690;3;1;282;0
691;3;2;641;0
691;2;2;490;0
691;4;2;237;0
691;6;2;161;0
691;6;2;161;0
691;2;4;202;0
691;11;3;216;0
691;12;3;223;0
691;1;4;223;0
691;5;4;85;0
691;5;4;85;0
691;6;4;66;0
691;7;4;63;0
691;9;4;102;0
691;10;4;70;0
691;11;4;384;0
691;12;4;525;0
691;1;5;686;0
691;2;5;604;0
691;3;5;514;0
691;4;1;492;0
691;4;5;224;0
691;3;2;231;0
691;5;5;82;0
691;6;5;48;0
691;7;5;35;0
691;8;5;37;0
691;9;5;51;0
691;10;5;92;0
691;11;5;277;0
691;12;5;504;0
691;1;6;580;0
691;2;6;423;0
691;3;6;252;0
691;4;6;112;0
691;12;1;228;0
691;5;6;48;0
691;11;1;243;0
691;7;6;119;0
691;8;6;100;0
691;9;6;38;0
691;10;6;68;0
691;11;6;280;0
691;12;6;617;0
691;2;2;209;0
691;1;7;728;0
691;2;7;691;0
691;3;7;681;0
691;7;7;206;0
691;8;7;40;0
691;9;7;60;0
691;12;7;455;0
691;1;8;603;0
691;2;8;450;0
691;4;2;94;0
691;3;8;518;0
691;4;8;273;0
691;5;8;44;0
691;6;8;21;0
691;10;7;123;0
691;6;2;0;0
691;11;7;89;0
691;7;8;20;0
691;8;8;25;0
691;9;8;13;0
691;10;8;19;0
691;10;3;122;0
691;11;8;125;0
691;12;8;665;0
691;10;9;49;0
691;1;9;407;0
691;2;9;703;0
691;1;3;658;0
691;3;9;340;0
691;4;9;189;0
691;5;9;38;0
691;6;9;32;0
691;7;9;40;0
691;8;9;33;0
691;9;9;33;0
691;2;3;882;0
691;4;4;210;0
691;8;3;73;0
691;4;3;301;0
691;2;4;559;0
691;9;3;103;0
691;11;3;292;0
691;5;3;186;0
691;12;3;492;0
691;3;4;576;0
691;6;3;55;0
691;1;4;634;0
691;7;3;67;0
691;3;3;483;0
691;1;2;268;1
691;2;1;996;0
692;5;3;160;0
692;5;4;122;0
692;5;4;122;0
692;7;4;100;0
692;9;4;92;0
692;10;4;326;0
692;11;4;1281;0
692;12;4;1260;0
692;1;2;1435;0
